epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3809.15,1.34089,1.25508,1.40011,0.6448,0.54562,0.55842,0.32554,1.27637,1.4472,1.41958,3.33281e-05,3.33281e-05,0.0667052
2,7543.09,1.28909,1.1581,1.36566,0.70195,0.61878,0.65863,0.39335,1.20274,1.18981,1.35155,6.66542e-05,6.66542e-05,0.0334052
3,11270.9,1.25038,1.0883,1.3423,0.70992,0.63997,0.67667,0.40561,1.17894,1.11883,1.33761,9.9951e-05,9.9951e-05,0.000105148
4,14990.1,1.22793,1.04654,1.3273,0.72903,0.63005,0.67855,0.40903,1.17349,1.13112,1.33285,9.99014e-05,9.99014e-05,9.99014e-05
5,18701.4,1.21682,1.03256,1.32173,0.72369,0.63178,0.68085,0.41021,1.17442,1.12741,1.33349,9.98248e-05,9.98248e-05,9.98248e-05
6,22407,1.20837,1.01499,1.31547,0.72785,0.64073,0.68282,0.41119,1.17177,1.10132,1.33012,9.97264e-05,9.97264e-05,9.97264e-05
7,26126.6,1.20279,1.01441,1.31241,0.72214,0.64553,0.684,0.41189,1.17249,1.10966,1.3303,9.96061e-05,9.96061e-05,9.96061e-05
8,29840,1.20771,1.01191,1.31355,0.72132,0.64369,0.68499,0.41299,1.17051,1.1127,1.32818,9.94642e-05,9.94642e-05,9.94642e-05
9,33557.9,1.22002,1.02618,1.32117,0.72478,0.64551,0.68891,0.4156,1.16726,1.10196,1.3255,9.93005e-05,9.93005e-05,9.93005e-05
10,37279.4,1.22719,1.03372,1.32306,0.73822,0.6429,0.69012,0.41716,1.16538,1.09255,1.32333,9.91152e-05,9.91152e-05,9.91152e-05
11,41001.7,1.2283,1.03419,1.32282,0.73944,0.64334,0.69316,0.41863,1.16262,1.08262,1.32068,9.89085e-05,9.89085e-05,9.89085e-05
